frase,area,device,command
fai accendi punto luce in sala,Sala,luce_rgb,accendi
spengere punti luce in camera,Camera,luce_rgb,spegni
far accendi climatizzatore del sala,Sala,termostato,accendi
spengere climatizzatori in camera,Camera,termostato,spegni
abbassare tenda del cameretta,Cameretta,tapparella,chiudi
alzare tende da sole in sala,Sala,tapparella,apri
spengi punto luce in camera,Camera,luce_rgb,spegni
abbassa tenda in sala,Sala,tapparella,chiudi
spengi climatizzatore del cucina,Cucina,termostato,spegni
far accendi luce del balcone,Balcone,luce_semplice,accendi
far accendi climatizzatore del camera,Camera,termostato,accendi
abbassare tenda da sole del bagno,Bagno,tapparella,chiudi
spegnere punti luce del balcone,Balcone,luce_semplice,spegni
spengere climatizzatori del cameretta,Cameretta,termostato,spegni
apri tenda da sole in bagno,Bagno,tapparella,apri
spegni climatizzatori in cucina,Cucina,termostato,spegni
accendi il condizionatore,Bagno,condizionatore,accendi
apri tenda in bagno,Bagno,tapparella,apri
fa' accendi climatizzatori in camera,Camera,termostato,accendi
spegni climatizzatore del cucina,Cucina,termostato,spegni
spegnere punti luce del camera,Camera,luce_rgb,spegni
spengi climatizzatori in bagno,Bagno,condizionatore,spegni
fare accendi punto luce in balcone,Balcone,luce_semplice,accendi
spegni climatizzatori del sala,Sala,termostato,spegni
spegnere climatizzatori in cameretta,Cameretta,termostato,spegni
fai accendi punto luce del balcone,Balcone,luce_semplice,accendi
far accendi climatizzatore in cucina,Cucina,termostato,accendi
fare accendi luce del cucina,Cucina,luce_semplice,accendi
alza tenda del bagno,Bagno,tapparella,apri
fa' accendi luce del sala,Sala,luce_rgb,accendi
chiudi la tapparella in bagno,Bagno,tapparella,chiudi
spegnere clima del sala,Sala,termostato,spegni
luci del soggiorno on,Sala,luce_rgb,accendi
chiudere tenda da sole del sala,Sala,tapparella,chiudi
spengi punti luce in cameretta,Cameretta,luce_rgb,spegni
alza tenda del cameretta,Cameretta,tapparella,apri
chiudi tende da sole del bagno,Bagno,tapparella,chiudi
spegnere punti luce del cameretta,Cameretta,luce_rgb,spegni
spegni punti luce del ingresso,Ingresso,luce_semplice,spegni
chiudi tenda del bagno,Bagno,tapparella,chiudi
spegnere luce in camera,Camera,luce_rgb,spegni
spengere climatizzatore del cucina,Cucina,termostato,spegni
fa' accendi punto luce del cameretta,Cameretta,luce_rgb,accendi
spengi climatizzatori in cameretta,Cameretta,termostato,spegni
spengi climatizzatore del camera,Camera,termostato,spegni
apri tenda del bagno,Bagno,tapparella,apri
fai accendi punti luce del cameretta,Cameretta,luce_rgb,accendi
fare accendi climatizzatori del sala,Sala,termostato,accendi
accendi la luce in camera,Camera,luce_rgb,accendi
spegnere luce in ingresso,Ingresso,luce_semplice,spegni
spegnere luce in cucina,Cucina,luce_semplice,spegni
fare accendi punto luce in sala,Sala,luce_rgb,accendi
fare accendi punto luce del balcone,Balcone,luce_semplice,accendi
spegni clima in cameretta,Cameretta,termostato,spegni
far accendi punti luce in cucina,Cucina,luce_semplice,accendi
spegnere punti luce in camera,Camera,luce_rgb,spegni
abbassa tende da sole in bagno,Bagno,tapparella,chiudi
fai accendi climatizzatori del camera,Camera,termostato,accendi
fare accendi climatizzatori in camera,Camera,termostato,accendi
fa' accendi punto luce in ingresso,Ingresso,luce_semplice,accendi
alza tende da sole in bagno,Bagno,tapparella,apri
fa' accendi clima in camera,Camera,termostato,accendi
far accendi punti luce del balcone,Balcone,luce_semplice,accendi
fare accendi punti luce in bagno,Bagno,luce_semplice,accendi
spegni climatizzatori del cameretta,Cameretta,termostato,spegni
fare accendi punto luce del ingresso,Ingresso,luce_semplice,accendi
fare accendi clima in bagno,Bagno,condizionatore,accendi
spengi clima del cucina,Cucina,termostato,spegni
spengi clima in bagno,Bagno,condizionatore,spegni
fai accendi punti luce in cameretta,Cameretta,luce_rgb,accendi
spengere punto luce del ingresso,Ingresso,luce_semplice,spegni
spengi climatizzatore in cucina,Cucina,termostato,spegni
